City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lebu,CL,2022-04-03 01:09:06,-37.6167,-73.65,53.78,80,86,16.4
67,Liku,ID,2022-04-03 01:13:46,-0.7275,119.8922,74.77,94,100,3.83
68,Port Blair,IN,2022-04-03 01:13:47,11.6667,92.75,78.84,94,75,0.0
69,Camopi,GF,2022-04-03 01:13:47,3.1655,-52.3158,72.72,100,100,1.57
70,Avarua,CK,2022-04-03 01:13:47,-21.2078,-159.775,84.25,74,75,5.75
71,Coquimbo,CL,2022-04-03 01:11:25,-29.9533,-71.3436,55.13,94,20,3.44
72,Clyde River,CA,2022-04-03 01:13:48,70.4692,-68.5914,10.63,92,100,6.91
73,Poum,NC,2022-04-03 01:13:48,-20.2333,164.0167,82.63,79,99,5.14
74,Kissidougou,GN,2022-04-03 01:13:48,9.1848,-10.0999,69.19,93,100,4.38
75,Yumen,CN,2022-04-03 01:13:49,40.2833,97.2,49.59,13,1,17.47
76,Grindavik,IS,2022-04-03 01:13:49,63.8424,-22.4338,45.07,100,100,12.66
77,Khatanga,RU,2022-04-03 01:13:49,71.9667,102.5,-3.06,96,100,9.33
78,Largo,US,2022-04-03 01:13:24,27.9095,-82.7873,66.94,89,100,4.61
79,Moba,CN,2022-04-03 01:13:50,33.2288,105.0179,43.79,78,100,4.99
80,Pochutla,MX,2022-04-03 01:13:50,15.7432,-96.4661,82.81,59,32,4.65
81,San Ignacio,BZ,2022-04-03 01:13:51,17.1561,-89.0714,87.94,62,0,6.91
82,Drummondville,CA,2022-04-03 01:11:02,45.8834,-72.4824,34.02,69,99,5.86
83,Chuy,UY,2022-04-03 01:13:51,-33.6971,-53.4616,62.62,78,0,10.94
84,Upernavik,GL,2022-04-03 01:13:51,72.7868,-56.1549,7.12,98,98,10.8
85,Olafsvik,IS,2022-04-03 01:10:18,64.8945,-23.7142,42.69,98,100,10.58
86,Asau,RO,2022-04-03 01:13:52,46.4333,26.4,37.96,100,100,2.06
87,Kuala Terengganu,MY,2022-04-03 01:13:52,5.3302,103.1408,78.6,83,100,2.06
88,Estelle,US,2022-04-03 01:13:53,29.8458,-90.1067,69.8,59,0,5.01
89,Port Alfred,ZA,2022-04-03 01:14:53,-33.5906,26.891,63.18,95,100,5.01
90,Vostok,RU,2022-04-03 01:14:53,46.4856,135.8833,38.46,71,0,8.39
91,Mabaruma,GY,2022-04-03 01:12:43,8.2,-59.7833,72.73,94,48,4.16
92,Naron,ES,2022-04-03 01:14:54,43.5167,-8.1528,46.02,82,16,6.42
93,Logan,US,2022-04-03 01:14:54,41.7355,-111.8344,58.19,39,0,16.11
94,Lompoc,US,2022-04-03 01:14:54,34.6391,-120.4579,65.7,85,100,9.22
95,Dzerzhinskoye,RU,2022-04-03 01:14:55,56.8344,95.2283,22.23,82,28,6.17
96,Victoria,HK,2022-04-03 01:12:06,22.2855,114.1577,64.96,56,46,11.01
97,Saint George,US,2022-04-03 01:14:55,37.1041,-113.5841,79.63,16,0,11.5
98,Ponta Do Sol,PT,2022-04-03 01:14:55,32.6667,-17.1,62.01,81,100,10.22
99,Arraial Do Cabo,BR,2022-04-03 01:14:54,-22.9661,-42.0278,76.51,88,100,14.74
100,Hilo,US,2022-04-03 01:12:53,19.7297,-155.09,78.53,78,100,13.8
101,Mormugao,IN,2022-04-03 01:14:56,15.4,73.8,76.41,82,76,3.78
102,Maragogi,BR,2022-04-03 01:14:56,-9.0122,-35.2225,78.31,79,13,5.82
103,Kaitangata,NZ,2022-04-03 01:14:57,-46.2817,169.8464,64.62,53,88,7.78
104,Boqueirao,BR,2022-04-03 01:14:57,-7.5,-36.1333,71.46,89,13,6.69
105,Payo,ID,2022-04-03 01:14:57,-3.7508,103.6372,76.96,79,100,0.56
106,Bafq,IR,2022-04-03 01:14:58,31.6128,55.4107,65.98,18,0,3.89
107,Venado Tuerto,AR,2022-04-03 01:14:58,-33.7456,-61.9688,61.77,50,0,11.52
108,Tigil,RU,2022-04-03 01:14:58,57.8,158.6667,25.47,90,100,12.66
109,New Norfolk,AU,2022-04-03 01:14:59,-42.7826,147.0587,60.93,57,10,1.99
110,Atuona,PF,2022-04-03 01:14:59,-9.8,-139.0333,79.7,75,4,16.37
111,Kasongo-Lunda,CD,2022-04-03 01:15:00,-6.4667,16.8167,70.29,99,100,2.37
112,Mar Del Plata,AR,2022-04-03 01:15:00,-38.0023,-57.5575,61.88,79,0,20.0
113,Polunochnoye,RU,2022-04-03 01:15:00,60.8697,60.4153,11.75,97,100,2.3
114,De-Kastri,RU,2022-04-03 01:15:01,51.4667,140.7833,40.77,57,15,6.8
115,Port Said,EG,2022-04-03 01:15:01,31.2565,32.2841,64.26,76,100,9.71
116,Mtwara,TZ,2022-04-03 01:15:01,-10.2667,40.1833,75.11,92,97,5.32
117,Yatou,CN,2022-04-03 01:15:02,37.15,122.3833,52.25,52,0,2.8
118,Tocopilla,CL,2022-04-03 01:15:02,-22.092,-70.1979,67.87,66,7,6.51
119,Kavaratti,IN,2022-04-03 01:15:02,10.5669,72.642,82.13,71,2,2.89
120,Katsuura,JP,2022-04-03 01:15:03,35.1333,140.3,48.22,75,100,13.78
121,Kupang,ID,2022-04-03 01:15:03,-10.1667,123.5833,81.9,72,13,2.82
122,Yellowknife,CA,2022-04-03 01:15:03,62.456,-114.3525,7.32,43,75,9.22
123,Nata,PA,2022-04-03 01:15:04,8.3333,-80.5167,82.27,72,6,12.39
124,Monrovia,LR,2022-04-03 01:15:04,6.3005,-10.7969,76.62,89,100,6.24
125,Mehamn,NO,2022-04-03 01:15:05,71.0357,27.8492,27.21,77,100,17.43
126,Odweyne,SO,2022-04-03 01:15:05,9.4092,45.064,70.41,44,15,8.57
127,Norman Wells,CA,2022-04-03 01:15:05,65.282,-126.8329,5.04,39,20,2.3
128,Arlit,NE,2022-04-03 01:15:06,18.7369,7.3853,83.03,4,100,6.62
129,Dunedin,NZ,2022-04-03 01:11:31,-45.8742,170.5036,63.52,61,92,6.04
130,Faanui,PF,2022-04-03 01:15:06,-16.4833,-151.75,82.29,70,11,5.17
131,Kempsey,AU,2022-04-03 01:11:44,-31.0833,152.8333,75.94,73,100,3.0
132,Miyako,JP,2022-04-03 01:15:07,39.6367,141.9525,47.1,54,2,5.21
133,Carutapera,BR,2022-04-03 01:15:07,-1.195,-46.02,75.47,95,100,5.06
134,Lahaina,US,2022-04-03 01:16:07,20.8783,-156.6825,82.4,82,27,12.59
135,Longyearbyen,SJ,2022-04-03 01:16:08,78.2186,15.6401,3.04,78,20,14.97
136,Swift Current,CA,2022-04-03 01:15:24,50.2834,-107.8014,40.01,93,100,3.44
137,Walvis Bay,NA,2022-04-03 01:16:08,-22.9575,14.5053,57.09,88,0,6.91
138,Sao Joao Da Barra,BR,2022-04-03 01:16:09,-21.6403,-41.0511,76.48,87,49,5.88
139,Klaksvik,FO,2022-04-03 01:12:41,62.2266,-6.589,45.52,90,100,20.2
140,Preston,GB,2022-04-03 01:16:09,53.7667,-2.7167,35.58,87,17,1.9
141,Mayskiy,RU,2022-04-03 01:16:09,47.6931,40.1025,49.41,75,0,15.39
142,Bengkulu,ID,2022-04-03 01:16:10,-3.8004,102.2655,79.07,71,25,3.94
143,Tlacotepec,MX,2022-04-03 01:16:10,20.0667,-97.8667,66.25,87,57,3.27
144,Mezhdurechensk,RU,2022-04-03 01:16:10,53.6942,88.0603,34.02,100,100,3.22
145,Flin Flon,CA,2022-04-03 01:16:11,54.7682,-101.865,25.57,89,100,3.44
146,San Patricio,US,2022-04-03 01:16:11,28.017,-97.5169,81.32,74,0,12.55
147,Mayo,US,2022-04-03 01:16:12,38.8876,-76.5119,50.13,66,0,10.36
148,Breytovo,RU,2022-04-03 01:16:12,58.2993,37.8617,24.08,94,100,14.88
149,Erenhot,CN,2022-04-03 01:16:12,43.6475,111.9767,45.63,23,0,18.97
150,Sakakah,SA,2022-04-03 01:16:13,29.9697,40.2064,69.37,15,95,5.1
151,Khorramshahr,IR,2022-04-03 01:16:13,30.4397,48.1664,67.96,42,0,6.91
152,Chimbote,PE,2022-04-03 01:16:13,-9.0853,-78.5783,69.15,83,98,7.85
153,Muroto,JP,2022-04-03 01:16:14,33.2833,134.15,54.81,64,100,11.83
154,Narsaq,GL,2022-04-03 01:16:14,60.9167,-46.05,35.82,96,100,1.95
155,Eyl,SO,2022-04-03 01:16:15,7.9803,49.8164,77.11,82,14,6.96
156,Abu Samrah,SY,2022-04-03 01:16:15,35.3029,37.1841,62.8,37,100,6.4
157,Ouadda,CF,2022-04-03 01:16:15,8.0777,22.4007,72.39,51,65,3.94
158,Esperance,AU,2022-04-03 01:16:16,-33.8667,121.9,75.58,39,42,11.21
159,Ancud,CL,2022-04-03 01:13:53,-41.8697,-73.8203,46.22,77,97,10.47
160,Hambantota,LK,2022-04-03 01:16:16,6.1241,81.1185,78.28,82,2,3.91
161,Lulea,SE,2022-04-03 01:16:16,65.5842,22.1547,24.87,63,100,8.05
162,Marzuq,YE,2022-04-03 01:16:17,14.4,46.4667,67.24,27,0,4.0
163,Alofi,NU,2022-04-03 01:16:17,-19.0595,-169.9187,84.09,74,81,11.5
164,Birjand,IR,2022-04-03 01:16:17,32.8663,59.2211,43.27,28,0,4.61
165,Boyolangu,ID,2022-04-03 01:16:18,-8.1181,111.8935,80.47,82,17,1.59
166,Castro,BR,2022-04-03 01:14:50,-24.7911,-50.0119,58.55,97,100,9.08
167,Nome,US,2022-04-03 01:16:18,64.5011,-165.4064,22.15,45,0,14.97
168,Itarema,BR,2022-04-03 01:16:19,-2.9248,-39.9167,74.8,90,89,8.3
169,Bambous Virieux,MU,2022-04-03 01:16:19,-20.3428,57.7575,76.21,100,75,17.27
170,Saskylakh,RU,2022-04-03 01:16:19,71.9167,114.0833,-0.11,96,100,10.36
171,Alugan,PH,2022-04-03 01:16:20,12.2188,125.4808,81.01,78,94,11.36
172,Tabou,CI,2022-04-03 01:16:20,4.423,-7.3528,78.04,89,100,7.85
173,Kroya,ID,2022-04-03 01:16:20,-7.6331,109.2461,80.85,80,40,3.4
174,Ballina,AU,2022-04-03 01:16:21,-28.8667,153.5667,81.79,74,87,6.06
175,North Bend,US,2022-04-03 01:16:21,43.4065,-124.2243,57.92,80,0,20.71
176,Lorengau,PG,2022-04-03 01:16:21,-2.0226,147.2712,80.47,81,100,5.95
177,Torbay,CA,2022-04-03 01:15:25,47.6666,-52.7314,36.57,87,100,19.57
178,Mendi,PG,2022-04-03 01:16:22,-6.1761,143.6513,68.07,61,92,4.9
179,Komsomolskiy,UZ,2022-04-03 01:17:22,40.4272,71.7189,56.12,62,0,4.61
180,Inuvik,CA,2022-04-03 01:17:23,68.3499,-133.7218,-3.14,50,20,6.91
